0,5,200,100,402,212
1,5,100,200,233,207
0,0,200,100,438,453
0,2.5,200,100,421,286
0,5,200,100,402,212
0,15,200,100,402,212
0,17.5,200,100,396,86
0,20,200,100,388,-15
1,0,100,200,-27,227
1,2.5,100,200,97,234
1,5,100,200,233,207
1,15,100,200,233,207
1,17.5,100,200,93,201
1,20,100,200,-35,190
0,5,100,100,493,238
1,5,100,100,225,266
2,5,100,100,334,221
0,0,100,100,765,435
0,2.5,100,100,628,273
0,5,100,100,493,238
0,15,100,100,493,238
0,17.5,100,100,642,122
0,20,100,100,752,23
1,0,100,100,-7,439
1,2.5,100,100,131,273
1,5,100,100,225,266
1,15,100,100,225,266
1,17.5,100,100,193,149
1,20,100,100,46,49
2,0,100,100,324,-7
2,2.5,100,100,341,72
2,5,100,100,334,221
2,15,100,100,334,221
2,17.5,100,100,346,322
2,20,100,100,350,452
0,5,100,100,214,126
1,5,100,100,515,282
2,5,100,100,238,287
3,5,100,100,344,201
4,5,100,100,537,145
0,0,100,100,0,0
0,2.5,100,100,92,99
0,5,100,100,214,126
0,15,100,100,214,126
0,17.5,100,100,221,50
0,20,100,100,198,-15
1,0,100,100,781,445
1,2.5,100,100,651,323
1,5,100,100,515,282
1,15,100,100,515,282
1,17.5,100,100,514,359
1,20,100,100,521,461
2,0,100,100,-6,444
2,2.5,100,100,100,324
2,5,100,100,238,287
2,15,100,100,238,287
2,17.5,100,100,237,371
2,20,100,100,229,448
3,0,100,100,346,-34
3,2.5,100,100,336,78
3,5,100,100,344,201
3,15,100,100,344,201
3,17.5,100,100,349,349
3,20,100,100,338,460
4,0,100,100,780,11
4,2.5,100,100,661,99
4,5,100,100,537,145
4,15,100,100,537,145
4,17.5,100,100,510,65
4,20,100,100,519,0
0,5,400,100,276,240
1,5,100,100,330,117
2,5,100,100,407,112
3,5,100,100,247,116
0,0,400,100,240,445
0,2.5,400,100,291,313
0,5,400,100,276,240
0,15,400,100,276,240
0,17.5,400,100,251,313
