242, 283
267, 163
252, 56
259, -15
---
415, 134
248, 157
!!!
457, -18
433, 65
415, 134
424, 283
439, 450
282, 434
242, 283
248, 157
252, 56
259, -15
---
411, 146
258, 154
!!!
457, -18
433, 65
411, 146
424, 283
439, 450
282, 434
242, 283
258, 154
252, 56
259, -15
---
412, 138
256, 157
!!!
457, -18
433, 65
412, 138
424, 283
439, 450
282, 434
242, 283
256, 157
252, 56
259, -15
---
418, 140
248, 169
!!!
457, -18
433, 65
418, 140
424, 283
439, 450
282, 434
242, 283
248, 169
252, 56
259, -15
---
457, 280
565, 228
355, 326
72, 100
!!!
488, 470
460, 361
457, 280
471, 360
442, 461
575, 460
571, 321
565, 228
571, 337
577, 451
390, 472
359, 389
355, 326
366, 395
354, 454
83, -28
69, 38
72, 100
81, 42
64, -19
---
455, 274
561, 218
356, 327
63, 105
!!!
488, 470
460, 361
455, 274
471, 360
442, 461
575, 460
571, 321
561, 218
571, 337
577, 451
390, 472
359, 389
356, 327
366, 395
354, 454
83, -28
69, 38
63, 105
81, 42
64, -19
---
454, 272
555, 222
361, 333
78, 105
!!!
488, 470
460, 361
454, 272
471, 360
442, 461
575, 460
571, 321
555, 222
571, 337
577, 451
390, 472
359, 389
361, 333
366, 395
354, 454
83, -28
69, 38
78, 105
81, 42
64, -19
---
465, 279
565, 228
354, 319
65, 100
!!!
488, 470
460, 361
465, 279
471, 360
442, 461
575, 460
571, 321
565, 228
571, 337
577, 451
390, 472
359, 389
354, 319
366, 395
354, 454
83, -28
69, 38
65, 100
81, 42
64, -19
---
450, 278
563, 224
356, 319
65, 92
!!!
488, 470
460, 361
450, 278
471, 360
442, 461
575, 460
571, 321
563, 224
571, 337
577, 451
390, 472
359, 389
356, 319
366, 395
354, 454
83, -28
69, 38
65, 92
81, 42
64, -19
---
448, 282
555, 221
363, 331
73, 106
!!!
488, 470
460, 361
448, 282
471, 360
442, 461
575, 460
571, 321
555, 221
571, 337
577, 451
390, 472
359, 389
363, 331
366, 395
354, 454
83, -28
69, 38
73, 106
81, 42
64, -19
---
355, 92
286, 311
178, 269
50, 208
!!!
382, -14
342, 58
355, 92
362, 52
337, -19
322, 449
288, 374
286, 311
292, 370
296, 448
218, 459
185, 343
178, 269
187, 338
169, 443
53, 459
40, 307
50, 208
53, 297
55, 448
---
349, 89
282, 306
185, 277
46, 210
!!!
382, -14
342, 58
349, 89
362, 52
337, -19
322, 449
288, 374
282, 306
292, 370
296, 448
218, 459
185, 343
185, 277
187, 338
169, 443
53, 459
40, 307
46, 210
53, 297
55, 448
---
364, 89
293, 319
185, 268
